Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
River;White cat;The Bold;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Suggest that all three of you should fight (without telling the troll)?;Secrets about the castle;White;Hufflepuff
Moon;The trumpet;Common toad;Merpeople;Love?;Waking up to find that neither your friends nor your family have any idea who you are.;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Left;Hufflepuff
Dawn;Apparition and Disapparition (being able to materialize and dematerialize at will);First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Think with admiration of your achievements;The silver leafed tree bearing golden apples;The narrow, dark, lantern-lit alley;Snowy owl;Tails;Gryffindor
Dusk;Ask for more stories about your adventures;The power to read minds;Tabby cat;The drum;Imitated?;Draw your wand and try to discover the source of the noise?;Tails;Gryffindor
Moon;A crackling log fire;Every area of magic I can;Liked?;Selfish;The narrow, dark, lantern-lit alley;Snowy owl;Heads;Hufflepuff
Moon;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Common toad;Suggest drawing lots to decide which of you will fight?;Selfish;Transfiguration (turning one object into another object);Feared?;Black;Hufflepuff
Stars;Natterjack toad;An eye at the keyhole of the dark, windowless room in which you are locked.;The piano;The power of superhuman strength;Trusted?;Selfish;White;Hufflepuff
Dusk;Draw your wand and stand your ground?;Praised?;The bubbling pool, in the depths of which something luminous is swirling;Screech owl;Apparition and Disapparition (being able to materialize and dematerialize at will);The Great;White;Slytherin
Dawn;Brown owl;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Home;Werewolves;Glory?;Left;Gryffindor
Forest;Three toed tree toad;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Tell them that you are worried about their mental health, and offer to call a doctor.;The Bold;The power to speak to animals;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;White;Hufflepuff
Dawn;Power?;Hunger;The power to change the past;Three toed tree toad;The silver leafed tree bearing golden apples;Suggest drawing lots to decide which of you will fight?;Tails;Ravenclaw
Dusk;Selfish;Cold;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Dragon toad;Transfiguration (turning one object into another object);The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Left;Hufflepuff
Stars;Boredom;Wisdom?;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Tawny owl;All about magical creatures, and how to befriend/care for them;Draw your wand and stand your ground?;Black;Gryffindor
River;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Vampires;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The Good;Ginger cat;Feared?;Heads;Slytherin
Forest;The silver leafed tree bearing golden apples;Tawny owl;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Suggest that all three of you should fight (without telling the troll)?;Power?;All about magical creatures, and how to befriend/care for them;Tails;Ravenclaw
Moon;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Screech owl;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;The Great;Werewolves;Trusted?;White;Ravenclaw
Dawn;Werewolves;Home;Imitated?;Brown owl;Wisdom?;Waking up to find that neither your friends nor your family have any idea who you are.;Left;Ravenclaw
Dawn;Attempt to confuse the troll into letting all three of you pass without fighting?;Fresh parchment;The Good;White cat;The power to change your appearance at will;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Left;Ravenclaw
Dawn;Miss you, but smile;Siamese cat;The drum;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Flying on a broomstick;Draw your wand and stand your ground?;Black;Gryffindor
Dusk;Liked?;The Good;Vampires;The bubbling pool, in the depths of which something luminous is swirling;Three toed tree toad;Ask what makes them think so?;White;Hufflepuff
Stars;Every area of magic I can;The silver leafed tree bearing golden apples;Envied?;Cowardly;White cat;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Tails;Ravenclaw
Moon;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Three toed tree toad;Hunger;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Transfiguration (turning one object into another object);Selfish;Left;Ravenclaw
River;Trusted?;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Ghosts;Dragon toad;The fat red toadstools that appear to be talking to each other;The Good;Heads;Hufflepuff
Moon;Ginger cat;Love?;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Vampires;Loneliness;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Left;Slytherin
Stars;Screech owl;Miss you, but smile;Transfiguration (turning one object into another object);Loneliness;Agree, and ask whether they'd like a free sample of a jinx?;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Left;Ravenclaw
Dusk;The Bold;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The power of invisibility;White cat;The statue of an old wizard with a strangely twinkling eye;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Left;Gryffindor
Dusk;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Cold;Ask for more stories about your adventures;Vampires;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Black cat;Tails;Slytherin
Stars;Harlequin toad;The drum;The power to change the past;Agree, and ask whether they'd like a free sample of a jinx?;Glory?;Hunger;Black;Gryffindor
River;Miss you, but smile;Siamese cat;The drum;Merpeople;Being ignored;The narrow, dark, lantern-lit alley;Heads;Slytherin
Dawn;All about magical creatures, and how to befriend/care for them;Ask for more stories about your adventures;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Siamese cat;Ask what makes them think so?;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;White;Ravenclaw
Dusk;The silver leafed tree bearing golden apples;Barn owl;Boredom;The power of superhuman strength;Ignorant;The cobbled street lined with ancient buildings;White;Ravenclaw
Moon;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Snowy owl;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Miss you, but smile;The power to change the past;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Left;Slytherin
Dusk;The power to read minds;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The sea;Power?;Brown owl;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Tails;Slytherin
Forest;Screech owl;Trolls;Cold;The silver leafed tree bearing golden apples;The Good;Draw your wand and try to discover the source of the noise?;White;Hufflepuff
Dusk;Think with admiration of your achievements;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Merpeople;The cobbled street lined with ancient buildings;Tawny owl;Liked?;Right;Hufflepuff
Stars;Vampires;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Ignorant;Tawny owl;The silver leafed tree bearing golden apples;White;Ravenclaw
River;Loneliness;An eye at the keyhole of the dark, windowless room in which you are locked.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Flying on a broomstick;Glory?;Natterjack toad;White;Hufflepuff
Dusk;Ordinary;The power to read minds;Being ignored;Siamese cat;The piano;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Heads;Slytherin
Stars;Natterjack toad;Miss you, but smile;Ask what makes them think so?;Werewolves;Praised?;The bubbling pool, in the depths of which something luminous is swirling;Left;Hufflepuff
Dusk;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Envied?;The twisting, leaf-strewn path through woods;Love?;Common toad;Trolls;Heads;Hufflepuff
River;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Suggest that all three of you should fight (without telling the troll)?;The power of superhuman strength;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Dragon toad;The Great;Right;Hufflepuff
Dawn;Cold;Snowy owl;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The power of superhuman strength;Selfish;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Tails;Slytherin
Dusk;A crackling log fire;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Centaurs;Ginger cat;Love?;Black;Gryffindor
Dusk;Harlequin toad;Every area of magic I can;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;The narrow, dark, lantern-lit alley;Selfish;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Tails;Hufflepuff
River;Agree, and ask whether they'd like a free sample of a jinx?;Liked?;Tabby cat;The Bold;All about magical creatures, and how to befriend/care for them;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Right;Hufflepuff
Stars;The power to read minds;Harlequin toad;The Good;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Tails;Hufflepuff
Stars;Three toed tree toad;Cold;Ignorant;The power of invisibility;The wide, sunny, grassy lane;The sea;Right;Hufflepuff
Stars;Ginger cat;Apparition and Disapparition (being able to materialize and dematerialize at will);The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Think with admiration of your achievements;Volunteer to fight?;Liked?;Black;Gryffindor
Moon;Envied?;Suggest that all three of you should fight (without telling the troll)?;The power to read minds;The Good;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Screech owl;Heads;Ravenclaw
Dawn;Barn owl;Trusted?;Flying on a broomstick;The wide, sunny, grassy lane;The Good;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Heads;Hufflepuff
Dusk;Barn owl;Miss you, but smile;Draw your wand and try to discover the source of the noise?;Liked?;Apparition and Disapparition (being able to materialize and dematerialize at will);The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;White;Hufflepuff
Stars;Boredom;Tell them that you are worried about their mental health, and offer to call a doctor.;Siamese cat;The violin;Goblins;The Good;Tails;Slytherin
Moon;The piano;Draw your wand and stand your ground?;Tabby cat;Flying on a broomstick;Wisdom?;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;White;Ravenclaw
River;Cold;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Apparition and Disapparition (being able to materialize and dematerialize at will);Tell them that you are worried about their mental health, and offer to call a doctor.;Black cat;The Good;Tails;Hufflepuff
River;Glory?;Centaurs;The wide, sunny, grassy lane;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Snowy owl;The trumpet;Right;Hufflepuff
Dawn;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;The power to read minds;White cat;The violin;Ignorant;Hunger;Tails;Ravenclaw
Stars;The Bold;Ginger cat;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';The power to read minds;Tails;Gryffindor
Dawn;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Tawny owl;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Werewolves;The Great;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;White;Ravenclaw
Forest;Miss you, but smile;Cold;Vampires;An eye at the keyhole of the dark, windowless room in which you are locked.;The violin;Dragon toad;Tails;Slytherin
Moon;Imitated?;Cowardly;The sea;The cobbled street lined with ancient buildings;The power to change the past;Black cat;Black;Slytherin
River;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The wide, sunny, grassy lane;The power of superhuman strength;White cat;The Great;Fresh parchment;Heads;Hufflepuff
Forest;Tell them that you are worried about their mental health, and offer to call a doctor.;Wisdom?;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Natterjack toad;Goblins;Feared?;Left;Ravenclaw
Forest;A crackling log fire;Love?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The power of invisibility;Suggest drawing lots to decide which of you will fight?;Tabby cat;White;Gryffindor
Stars;The power to change the past;The Bold;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Common toad;Home;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Right;Hufflepuff
Dawn;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The power of superhuman strength;Glory?;Fresh parchment;The cobbled street lined with ancient buildings;White cat;Heads;Ravenclaw
Forest;Envied?;Dragon toad;Werewolves;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Agree, and walk away, leaving them to wonder whether you are bluffing?;The Bold;White;Gryffindor
Stars;Snowy owl;The bubbling pool, in the depths of which something luminous is swirling;Love?;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Flying on a broomstick;Suggest that all three of you should fight (without telling the troll)?;Black;Gryffindor
Dusk;A crackling log fire;Agree, and walk away, leaving them to wonder whether you are bluffing?;The Bold;Envied?;Brown owl;All about magical creatures, and how to befriend/care for them;Tails;Gryffindor
Stars;White cat;Being ignored;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Volunteer to fight?;Cowardly;Transfiguration (turning one object into another object);Black;Gryffindor
Dusk;Three toed tree toad;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The power of invisibility;Ordinary;The piano;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Right;Ravenclaw
Moon;Draw your wand and stand your ground?;The violin;White cat;Goblins;Cowardly;Trusted?;Heads;Slytherin
Dusk;The bubbling pool, in the depths of which something luminous is swirling;Feared?;Screech owl;Ghosts;Draw your wand and stand your ground?;Ignorant;Heads;Ravenclaw
Forest;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Envied?;The trumpet;Harlequin toad;The power of superhuman strength;Cowardly;Right;Gryffindor
Forest;Secrets about the castle;Think with admiration of your achievements;Home;Ginger cat;Agree, and walk away, leaving them to wonder whether you are bluffing?;Cold;Right;Gryffindor
Dusk;Hunger;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Natterjack toad;The Good;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Every area of magic I can;Right;Hufflepuff
Forest;Dragon toad;The power to read minds;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Tell them that you are worried about their mental health, and offer to call a doctor.;Fresh parchment;Power?;Black;Gryffindor
Stars;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Common toad;Feared?;Ordinary;Vampires;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Tails;Slytherin
Dawn;Screech owl;Cold;The bubbling pool, in the depths of which something luminous is swirling;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Secrets about the castle;Selfish;Right;Hufflepuff
Dawn;Feared?;Screech owl;Ghosts;The fat red toadstools that appear to be talking to each other;Attempt to confuse the troll into letting all three of you pass without fighting?;The Good;White;Ravenclaw
Dawn;All about magical creatures, and how to befriend/care for them;Miss you, but smile;Ginger cat;The piano;The wide, sunny, grassy lane;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Left;Hufflepuff
Dawn;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Tawny owl;Power?;Suggest that all three of you should fight (without telling the troll)?;Every area of magic I can;Heads;Ravenclaw
Moon;Brown owl;Fresh parchment;Trolls;Being ignored;Wisdom?;Waking up to find that neither your friends nor your family have any idea who you are.;White;Ravenclaw
Moon;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The power to read minds;The Great;Ask what makes them think so?;Tawny owl;The bubbling pool, in the depths of which something luminous is swirling;Right;Ravenclaw
Forest;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Siamese cat;Suggest drawing lots to decide which of you will fight?;The power to read minds;Love?;White;Ravenclaw
River;Trolls;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Ginger cat;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Wisdom?;Black;Slytherin
Dusk;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Trolls;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Brown owl;The Great;Attempt to confuse the troll into letting all three of you pass without fighting?;Tails;Slytherin
Stars;Brown owl;Draw your wand and try to discover the source of the noise?;The violin;All about magical creatures, and how to befriend/care for them;Ordinary;Feared?;Left;Slytherin
Dusk;The sea;The power to speak to animals;Ask for more stories about your adventures;Tabby cat;Agree, and ask whether they'd like a free sample of a jinx?;Envied?;Tails;Slytherin
Dusk;The Great;Dragon toad;The trumpet;Cold;The power to read minds;Agree, and ask whether they'd like a free sample of a jinx?;Heads;Slytherin
Dusk;Praised?;Power?;All about magical creatures, and how to befriend/care for them;The violin;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Screech owl;Tails;Slytherin
River;The trumpet;The power to change your appearance at will;Feared?;The wide, sunny, grassy lane;The Wise;Tabby cat;Left;Slytherin
Forest;Ask for more stories about your adventures;The violin;Transfiguration (turning one object into another object);First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Tell them that you are worried about their mental health, and offer to call a doctor.;Harlequin toad;Left;Ravenclaw
River;Praised?;Wisdom?;Harlequin toad;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;An eye at the keyhole of the dark, windowless room in which you are locked.;Every area of magic I can;Tails;Gryffindor
Moon;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Ask for more stories about your adventures;Harlequin toad;The power to speak to animals;Left;Ravenclaw
Stars;Snowy owl;The silver leafed tree bearing golden apples;The power of invisibility;Draw your wand and stand your ground?;Praised?;Selfish;White;Hufflepuff
Dusk;Natterjack toad;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The power of invisibility;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The Bold;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;White;Hufflepuff
Stars;The silver leafed tree bearing golden apples;Black cat;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The power of invisibility;Tails;Slytherin
Dusk;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Dragon toad;Volunteer to fight?;Cowardly;Envied?;The power to change the past;White;Hufflepuff
Moon;Glory?;The power to change your appearance at will;Common toad;Hunger;The sea;Ask what makes them think so?;White;Ravenclaw
Dusk;Feared?;The power to change the past;The violin;Siamese cat;Power?;The twisting, leaf-strewn path through woods;Black;Slytherin
Stars;A crackling log fire;The wide, sunny, grassy lane;Dragon toad;The Bold;The power of superhuman strength;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Black;Gryffindor
Dawn;Ghosts;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The bubbling pool, in the depths of which something luminous is swirling;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Siamese cat;The Great;Black;Gryffindor
Dawn;Brown owl;Love?;An eye at the keyhole of the dark, windowless room in which you are locked.;Being ignored;All about magical creatures, and how to befriend/care for them;The piano;White;Ravenclaw
Forest;The Great;Every area of magic I can;Hunger;Harlequin toad;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Right;Hufflepuff
River;Miss you, but smile;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Werewolves;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Dragon toad;Tails;Hufflepuff
Dusk;The piano;Loneliness;Selfish;Apparition and Disapparition (being able to materialize and dematerialize at will);Tell them that you are worried about their mental health, and offer to call a doctor.;Common toad;Heads;Hufflepuff
Moon;Attempt to confuse the troll into letting all three of you pass without fighting?;The power to change the past;Tawny owl;The Great;Being ignored;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Left;Ravenclaw
Dusk;An eye at the keyhole of the dark, windowless room in which you are locked.;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Every area of magic I can;Power?;Three toed tree toad;The bubbling pool, in the depths of which something luminous is swirling;Left;Slytherin
Dawn;Draw your wand and stand your ground?;Praised?;Merpeople;The statue of an old wizard with a strangely twinkling eye;Tabby cat;The Great;Tails;Slytherin
Dusk;The Wise;The silver leafed tree bearing golden apples;Boredom;Brown owl;Vampires;Tell them that you are worried about their mental health, and offer to call a doctor.;Right;Hufflepuff
Forest;Screech owl;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;The power to read minds;The twisting, leaf-strewn path through woods;Cold;Power?;White;Ravenclaw
Moon;Attempt to confuse the troll into letting all three of you pass without fighting?;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Transfiguration (turning one object into another object);Boredom;Barn owl;The violin;Heads;Ravenclaw
River;Snowy owl;Suggest drawing lots to decide which of you will fight?;Imitated?;The Wise;The power to change the past;The trumpet;Left;Hufflepuff
Dawn;The power to change your appearance at will;Natterjack toad;Fresh parchment;Ordinary;Being ignored;Attempt to confuse the troll into letting all three of you pass without fighting?;Left;Ravenclaw
Moon;The twisting, leaf-strewn path through woods;Wisdom?;Snowy owl;A crackling log fire;Feared?;The power to change your appearance at will;Black;Gryffindor
Forest;Glory?;The power of superhuman strength;Imitated?;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Ginger cat;The cobbled street lined with ancient buildings;Right;Gryffindor
Forest;The power to change the past;Envied?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Draw your wand and stand your ground?;Three toed tree toad;Ordinary;Right;Slytherin
River;The Great;Siamese cat;Flying on a broomstick;The piano;Draw your wand and stand your ground?;Liked?;Tails;Slytherin
Stars;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Tawny owl;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The power to speak to animals;Suggest that all three of you should fight (without telling the troll)?;Glory?;Left;Ravenclaw
River;The Great;Loneliness;The power to change the past;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Three toed tree toad;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Tails;Slytherin
Forest;The power to read minds;White cat;Praised?;The statue of an old wizard with a strangely twinkling eye;Suggest drawing lots to decide which of you will fight?;The Wise;Left;Ravenclaw
Forest;The cobbled street lined with ancient buildings;The Great;Cold;The drum;Hexes and jinxes;Screech owl;Left;Ravenclaw
Stars;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';The power to change the past;The Bold;Attempt to confuse the troll into letting all three of you pass without fighting?;Harlequin toad;Heads;Gryffindor
Forest;Tabby cat;Flying on a broomstick;Trusted?;An eye at the keyhole of the dark, windowless room in which you are locked.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Love?;Tails;Gryffindor
Dawn;All about magical creatures, and how to befriend/care for them;Agree, and ask whether they'd like a free sample of a jinx?;Black cat;Imitated?;The Wise;Home;Right;Hufflepuff
River;Boredom;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Secrets about the castle;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Harlequin toad;Power?;Heads;Hufflepuff
Dusk;Trolls;Wisdom?;Tabby cat;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;A crackling log fire;Hunger;White;Hufflepuff
River;Trolls;The Wise;Snowy owl;The piano;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;White;Hufflepuff
Forest;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The power of superhuman strength;Black cat;Glory?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Agree, and walk away, leaving them to wonder whether you are bluffing?;White;Gryffindor
River;Boredom;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;White cat;The Great;Merpeople;Right;Slytherin
